HallB, DC, LV,,,,,,,,
pv, description, latching, annunciating,delay,count,display title,display details,automated_action title,automated_action details,automated_action delay
B_DET_DC_LV_SEC1_R1:alarm, DC LV Voltage S1 R1, true, true, 30, 0, Open DC LV Gui,/CLAS12_Share/detectors/DC/LVDC.opi,,,0
B_DET_DC_LV_SEC1_R2:alarm, DC LV Voltage S1 R2, true, true, 30, 0, Open DC LV Gui,/CLAS12_Share/detectors/DC/LVDC.opi,,,0
B_DET_DC_LV_SEC1_R3:alarm, DC LV Voltage S1 R3, true, true, 30, 0, Open DC LV Gui,/CLAS12_Share/detectors/DC/LVDC.opi,,,0
B_DET_DC_LV_SEC2_R1:alarm, DC LV Voltage S2 R1, true, true, 30, 0, Open DC LV Gui,/CLAS12_Share/detectors/DC/LVDC.opi,,,0
B_DET_DC_LV_SEC2_R2:alarm, DC LV Voltage S2 R2, true, true, 30, 0, Open DC LV Gui,/CLAS12_Share/detectors/DC/LVDC.opi,,,0
B_DET_DC_LV_SEC2_R3:alarm, DC LV Voltage S2 R3, true, true, 30, 0, Open DC LV Gui,/CLAS12_Share/detectors/DC/LVDC.opi,,,0
B_DET_DC_LV_SEC3_R1:alarm, DC LV Voltage S3 R1, true, true, 30, 0, Open DC LV Gui,/CLAS12_Share/detectors/DC/LVDC.opi,,,0
B_DET_DC_LV_SEC3_R2:alarm, DC LV Voltage S3 R2, true, true, 30, 0, Open DC LV Gui,/CLAS12_Share/detectors/DC/LVDC.opi,,,0
B_DET_DC_LV_SEC3_R3:alarm, DC LV Voltage S3 R3, true, true, 30, 0, Open DC LV Gui,/CLAS12_Share/detectors/DC/LVDC.opi,,,0
B_DET_DC_LV_SEC4_R1:alarm, DC LV Voltage S4 R1, true, true, 30, 0, Open DC LV Gui,/CLAS12_Share/detectors/DC/LVDC.opi,,,0
B_DET_DC_LV_SEC4_R2:alarm, DC LV Voltage S4 R2, true, true, 30, 0, Open DC LV Gui,/CLAS12_Share/detectors/DC/LVDC.opi,,,0
B_DET_DC_LV_SEC4_R3:alarm, DC LV Voltage S4 R3, true, true, 30, 0, Open DC LV Gui,/CLAS12_Share/detectors/DC/LVDC.opi,,,0
B_DET_DC_LV_SEC5_R1:alarm, DC LV Voltage S5 R1, true, true, 30, 0, Open DC LV Gui,/CLAS12_Share/detectors/DC/LVDC.opi,,,0
B_DET_DC_LV_SEC5_R2:alarm, DC LV Voltage S5 R2, true, true, 30, 0, Open DC LV Gui,/CLAS12_Share/detectors/DC/LVDC.opi,,,0
B_DET_DC_LV_SEC5_R3:alarm, DC LV Voltage S5 R3, true, true, 30, 0, Open DC LV Gui,/CLAS12_Share/detectors/DC/LVDC.opi,,,0
B_DET_DC_LV_SEC6_R1:alarm, DC LV Voltage S6 R1, true, true, 30, 0, Open DC LV Gui,/CLAS12_Share/detectors/DC/LVDC.opi,,,0
B_DET_DC_LV_SEC6_R2:alarm, DC LV Voltage S6 R2, true, true, 30, 0, Open DC LV Gui,/CLAS12_Share/detectors/DC/LVDC.opi,,,0
B_DET_DC_LV_SEC6_R3:alarm, DC LV Voltage S6 R3, true, true, 30, 0, Open DC LV Gui,/CLAS12_Share/detectors/DC/LVDC.opi,,,0
