HallB, RICH, Interlocks,,,,,,,
pv, description, latching, annunciating, delay, count, guidance title, guidance description,display title,display details
B_DET_RICH_INTLK:temp:fpga:status,RICH Soft Interlock Tripped, true, true,0,0, Guidance, The RICH software interlock is tripped.  Contact the On-Call RICH Expert for guidance.,Open Software Interlock Controls,/CLAS12_Share/apps/ftIntlkApp/richIntlk.opi
B_DET_RICH_INTLK:temp:fpga:bypass,RICH Soft Interlock Bypassed, false, true,0,0,Guidance, The RICH software interlock is bypassed but should be active during normal operation.  Contact the On-Call RICH Expert.,Open Software Interlock Controls,/CLAS12_Share/apps/ftIntlkApp/richIntlk.opi
B_DET_RICH_INTLK_S1_EP_TEMP_STATUS,RICH Electronic Panel Temperature Status, true, true,0,0, Guidance,A RICH electronic panel temperature sensor is out of range.  Contact the On-Call RICH Expert.,Open Hardware Interlock Controls,/CLAS12_Share/apps/cRioIntlkApp/RICH-hwintlk.opi
B_DET_RICH_INTLK_S1_EP_HUMID_STATUS,RICH Electronic Panel Humidity Status, true, true,0,0, Guidance,A RICH electronic panel humidity sensor is out of range.  Contact the On-Call RICH Expert.,Open Hardware Interlock Controls,/CLAS12_Share/apps/cRioIntlkApp/RICH-hwintlk.opi
B_DET_RICH_INTLK_TEMP_STATUS,RICH N2 Gas Temperature Status, true, true,0,0, Guidance,A RICH N2 Gas System temperature sensor is out of range.  Contact the On-Call RICH Expert.,Open Hardware Interlock Controls,/CLAS12_Share/apps/cRioIntlkApp/RICH-hwintlk.opi
B_DET_RICH_INTLK_HUMID_STATUS,RICH N2 Gas Humidity Status, true, true,0,0, Guidance,A RICH N2 Gas System humidity sensor is out of range.  Contact the On-Call RICH Expert.,Open Hardware Interlock Controls,/CLAS12_Share/apps/cRioIntlkApp/RICH-hwintlk.opi
B_DET_RICH_INTLK_N2FLOW_STATUS,RICH N2 Gas N2-Flow Status, true, true,0,0, Guidance,A RICH N2 Gas System N2-flow sensor is out of range.  Contact the On-Call RICH Expert.,Open Hardware Interlock Controls,/CLAS12_Share/apps/cRioIntlkApp/RICH-hwintlk.opi
B_DET_RICH_INTLK_AIRFLOW_STATUS,RICH N2 Gas Air Flow Status, true, true,0,0, Guidance,A RICH N2 Gas System air flow sensor is out of range.  Contact the On-Call RICH Expert.,Open Hardware Interlock Controls,/CLAS12_Share/apps/cRioIntlkApp/RICH-hwintlk.opi
B_DET_RICH_INTLK_AIRPR_STATUS,RICH N2 Gas Air Pressure Status, true, true,0,0, Guidance,A RICH N2 Gas System air pressure sensor is out of range.  Contact the On-Call RICH Expert.,Open Hardware Interlock Controls,/CLAS12_Share/apps/cRioIntlkApp/RICH-hwintlk.opi
B_DET_RICH_INTLK_S1_EP_TEMP_LATCHED_ERR,RICH Electronic Panel Temperature Latch Error, true, true,0,0, Guidance,A RICH electronic panel temperature latch error occurred.  Contact the On-Call RICH Expert.,Open Hardware Interlock Controls,/CLAS12_Share/apps/cRioIntlkApp/RICH-hwintlk.opi
B_DET_RICH_INTLK_S1_EP_HUMID_LATCHED_ERR,RICH Electronic Panel Humidity Latch Error, true, true,0,0, Guidance,A RICH electronic panel humidity latch error occurred.  Contact the On-Call RICH Expert.,Open Hardware Interlock Controls,/CLAS12_Share/apps/cRioIntlkApp/RICH-hwintlk.opi
B_DET_RICH_INTLK_TEMP_LATCHED_ERR,RICH N2 Gas Temperature Latch Error, true, true,0,0, Guidance,A RICH N2 Gas System temperature latch error occurred.  Contact the On-Call RICH Expert.,Open Hardware Interlock Controls,/CLAS12_Share/apps/cRioIntlkApp/RICH-hwintlk.opi
B_DET_RICH_INTLK_HUMID_LATCHED_ERR,RICH N2 Gas Humidity Latch Error, true, true,0,0, Guidance,A RICH N2 Gas System humidity latch error occurred.  Contact the On-Call RICH Expert.,Open Hardware Interlock Controls,/CLAS12_Share/apps/cRioIntlkApp/RICH-hwintlk.opi
B_DET_RICH_INTLK_N2FLOW_LATCHED_ERR,RICH N2 Gas N2-Flow Latch Error, true, true,0,0, Guidance,A RICH N2 Gas System N2-flow latch error occurred.  Contact the On-Call RICH Expert.,Open Hardware Interlock Controls,/CLAS12_Share/apps/cRioIntlkApp/RICH-hwintlk.opi
B_DET_RICH_INTLK_AIRFLOW_LATCHED_ERR,RICH N2 Gas Air Flow Latch Error, true, true,0,0, Guidance,A RICH N2 Gas System air flow latch error occurred.  Contact the On-Call RICH Expert.,Open Hardware Interlock Controls,/CLAS12_Share/apps/cRioIntlkApp/RICH-hwintlk.opi
B_DET_RICH_INTLK_AIRPR_LATCHED_ERR,RICH N2 Gas Air Pressure Latch Error, true, true,0,0, Guidance,A RICH N2 Gas System air pressure latch error occurred.  Contact the On-Call RICH Expert.,Open Hardware Interlock Controls,/CLAS12_Share/apps/cRioIntlkApp/RICH-hwintlk.opi
