HallB, DAQ, DiagguiServers
pv, description, latching, annunciating, delay, count, display title, display details, guidance title, guidance details
iocjscalers1:LOAD, Heavy CPU Load on Sector 1 JScalers, false, true, 60, 0, Open JScaler IOC Health, /CLAS12_Share/iocs/ioc_jscalers.opi, Guidance, This usually means a communications error with the tcp server on one of the DAQ crates.  Try to Reboot iocjscaler1 from the JScaler IOC Health screen
iocjscalers2:LOAD, Heavy CPU Load on Sector 2 JScalers, false, true, 60, 0, Open JScaler IOC Health, /CLAS12_Share/iocs/ioc_jscalers.opi, Guidance, This usually means a communications error with the tcp server on one of the DAQ crates.  Try to Reboot iocjscaler2 from the JScaler IOC Health screen
iocjscalers3:LOAD, Heavy CPU Load on Sector 3 JScalers, false, true, 60, 0, Open JScaler IOC Health, /CLAS12_Share/iocs/ioc_jscalers.opi, Guidance, This usually means a communications error with the tcp server on one of the DAQ crates.  Try to Reboot iocjscaler3 from the JScaler IOC Health screen
iocjscalers4:LOAD, Heavy CPU Load on Sector 4 JScalers, false, true, 60, 0, Open JScaler IOC Health, /CLAS12_Share/iocs/ioc_jscalers.opi, Guidance, This usually means a communications error with the tcp server on one of the DAQ crates.  Try to Reboot iocjscaler4 from the JScaler IOC Health screen
iocjscalers5:LOAD, Heavy CPU Load on Sector 5 JScalers, false, true, 60, 0, Open JScaler IOC Health, /CLAS12_Share/iocs/ioc_jscalers.opi, Guidance, This usually means a communications error with the tcp server on one of the DAQ crates.  Try to Reboot iocjscaler5 from the JScaler IOC Health screen
iocjscalers6:LOAD, Heavy CPU Load on Sector 6 JScalers, false, true, 60, 0, Open JScaler IOC Health, /CLAS12_Share/iocs/ioc_jscalers.opi, Guidance, This usually means a communications error with the tcp server on one of the DAQ crates.  Try to Reboot iocjscaler6 from the JScaler IOC Health screen
iocjscalersC:LOAD, Heavy CPU Load on CTOF/HTCC/CND/FT JScalers, false, true, 60, 0, Open JScaler IOC Health, /CLAS12_Share/iocs/ioc_jscalers.opi, Guidance, This usually means a communications error with the tcp server on one of the DAQ crates.  Try to Reboot iocjscalerC from the JScaler IOC Health screen
iocjscalersT:LOAD, Heavy CPU Load on Trigger JScalers, false, true, 60, 0, Open JScaler IOC Health, /CLAS12_Share/iocs/ioc_jscalers.opi, Guidance, This usually means a communications error with the tcp server on one of the DAQ crates.  Try to Reboot iocjscalerT from the JScaler IOC Health screen
iocjscalersRICH:LOAD, Heavy CPU Load on RICH JScalers, false, true, 60, 0, Open JScaler IOC Health, /CLAS12_Share/iocs/ioc_jscalers.opi, Guidance, This usually means a communications error with the tcp server on one of the DAQ crates.  Try to Reboot iocjscalerRICH from the JScaler IOC Health screen
