HallB,Solenoid, Vacuum,,,,,
pv, description, latching, annunciating,delay,count,display title,display details
B_SOL:VAC:CG8600TB,Main Turbo, true, true,5,5,Open Vacuum GUI,/CLAS12_Share/apps/plcApp/solenoid_vacuum.opi
B_SOL:VAC:CG8606,Main CC, true, true,5,5,Open Vacuum GUI,/CLAS12_Share/apps/plcApp/solenoid_vacuum.opi
B_SOL:VAC:CG8606_AVG10HR,CG8606 10hr Avg, true, true,5,5,Open Vacuum GUI,/CLAS12_Share/apps/plcApp/solenoid_vacuum.opi
B_SOL:VAC:CG8606_AVG1HR,CG8606 1hr Avg, true, true,5,5,Open Vacuum GUI,/CLAS12_Share/apps/plcApp/solenoid_vacuum.opi
B_SOL:VAC:CG8606_RATE,CG8606 Pumping Rate, true, true,5,5,Open Vacuum GUI,/CLAS12_Share/apps/plcApp/solenoid_vacuum.opi
B_SOL:VAC:PS8677,Guard Pump Speed, true, true,5,5,Open Vacuum GUI,/CLAS12_Share/apps/plcApp/solenoid_vacuum.opi
B_SOL:VAC:TB8600,Turbo Speed, true, true,5,5,Open Vacuum GUI,/CLAS12_Share/apps/plcApp/solenoid_vacuum.opi
B_SOL:VAC:PV8600,Main Gate Valve, true, true,5,5,Open Vacuum GUI,/CLAS12_Share/apps/plcApp/solenoid_vacuum.opi
