HallB, Torus, Forces, Load Cells,,
pv, description, latching, annunciating,delay,count
B_TORUS:FOR:CCM_A:LC817A1, Torus Load Cell, true, true,5,5
B_TORUS:FOR:CCM_A:LC817A2, Torus Load Cell, true, true,5,5
B_TORUS:FOR:CCM_A:LC817A3, Torus Load Cell, true, true,5,5
B_TORUS:FOR:CCM_A:LC817A4, Torus Load Cell, true, true,5,5
B_TORUS:FOR:CCM_B:LC817B1, Torus Load Cell, true, true,5,5
B_TORUS:FOR:CCM_B:LC817B2, Torus Load Cell, true, true,5,5
B_TORUS:FOR:CCM_B:LC817B3, Torus Load Cell, true, true,5,5
B_TORUS:FOR:CCM_B:LC817B4, Torus Load Cell, true, true,5,5
B_TORUS:FOR:CCM_C:LC817C1, Torus Load Cell, true, true,5,5
B_TORUS:FOR:CCM_C:LC817C2, Torus Load Cell, true, true,5,5
B_TORUS:FOR:CCM_C:LC817C3, Torus Load Cell, true, true,5,5
B_TORUS:FOR:CCM_C:LC817C4, Torus Load Cell, true, true,5,5
B_TORUS:FOR:CCM_D:LC817D1, Torus Load Cell, true, true,5,5
B_TORUS:FOR:CCM_D:LC817D2, Torus Load Cell, true, true,5,5
B_TORUS:FOR:CCM_D:LC817D3, Torus Load Cell, true, true,5,5
B_TORUS:FOR:CCM_D:LC817D4, Torus Load Cell, true, true,5,5
B_TORUS:FOR:CCM_E:LC817E1, Torus Load Cell, true, true,5,5
B_TORUS:FOR:CCM_E:LC817E2, Torus Load Cell, true, true,5,5
B_TORUS:FOR:CCM_E:LC817E3, Torus Load Cell, true, true,5,5
B_TORUS:FOR:CCM_E:LC817E4, Torus Load Cell, true, true,5,5
B_TORUS:FOR:CCM_F:LC817F1, Torus Load Cell, true, true,5,5
B_TORUS:FOR:CCM_F:LC817F2, Torus Load Cell, true, true,5,5
B_TORUS:FOR:CCM_F:LC817F3, Torus Load Cell, true, true,5,5
B_TORUS:FOR:CCM_F:LC817F4, Torus Load Cell, true, true,5,5
B_TORUS:FOR:HUB:LC817H1, Torus Load Cell, true, true,5,5
B_TORUS:FOR:HUB:LC817H4, Torus Load Cell, true, true,5,5
