HallB, WEATHER,,,,,,,,,
pv, description, latching, annunciating,delay,count,display title,display details,automated_action title,automated_action details,automated_action delay
B_SYS_WEATHER_FC_L1_Temp, Forward Carriage Level 1 Temperature, true, true, 180, 0, Open Alarm Settings,/CLAS12_Share/alarms/aiaocalc_alarm_set.opi "sig=B_SYS_WEATHER_FC_L1_Temp",,,0
B_SYS_WEATHER_FC_L2_Temp, Forward Carriage Level 2 Temperature, true, true, 180, 0, Open Alarm Settings,/CLAS12_Share/alarms/aiaocalc_alarm_set.opi "sig=B_SYS_WEATHER_FC_L2_Temp",,,0
B_SYS_WEATHER_FC_L3_Temp, Forward Carriage Level 3 Temperature, true, true, 180, 0, Open Alarm Settings,/CLAS12_Share/alarms/aiaocalc_alarm_set.opi "sig=B_SYS_WEATHER_FC_L3_Temp",,,0
B_SYS_WEATHER_SW_Temp, Subway Temperature, true, true, 180, 0, Open Alarm Settings,/CLAS12_Share/alarms/aiaocalc_alarm_set.opi "sig=B_SYS_WEATHER_SW_Temp",,,0
B_SYS_WEATHER_PT_Temp, Pie Tower Temperature, true, true, 180, 0, Open Alarm Settings,/CLAS12_Share/alarms/aiaocalc_alarm_set.opi "sig=B_SYS_WEATHER_PT_Temp",,,0
B_SYS_WEATHER_SF_L1_Temp, Space Frame Level 1 Temperature, true, true, 180, 0, Open Alarm Settings,/CLAS12_Share/alarms/aiaocalc_alarm_set.opi "sig=B_SYS_WEATHER_SF_L1_Temp",,,0
B_SYS_WEATHER_FC_L1_Humid, Forward Carriage Level 1 Humidity, true, true, 180, 0, Open Alarm Settings,/CLAS12_Share/alarms/aiaocalc_alarm_set.opi "sig=B_SYS_WEATHER_FC_L1_Humid",,,0
B_SYS_WEATHER_FC_L2_Humid, Forward Carriage Level 2 Humidity, true, true, 180, 0, Open Alarm Settings,/CLAS12_Share/alarms/aiaocalc_alarm_set.opi "sig=B_SYS_WEATHER_FC_L2_Humid",,,0
B_SYS_WEATHER_FC_L3_Humid, Forward Carriage Level 3 Humidity, true, true, 180, 0, Open Alarm Settings,/CLAS12_Share/alarms/aiaocalc_alarm_set.opi "sig=B_SYS_WEATHER_FC_L3_Humid",,,0
B_SYS_WEATHER_SF_L1_Humid, Space Frame Level 1 Humidity, true, true, 180, 0, Open Alarm Settings,/CLAS12_Share/alarms/aiaocalc_alarm_set.opi "sig=B_SYS_WEATHER_SF_L1_Humid",,,0
B_SYS_WEATHER_SW_Humid, Subway Humidity, true, true, 180, 0, Open Alarm Settings,/CLAS12_Share/alarms/aiaocalc_alarm_set.opi "sig=B_SYS_WEATHER_SW_Humid",,,0
B_SYS_WEATHER_PT_Humid, Pie Tower Humidity, true, true, 180, 0, Open Alarm Settings,/CLAS12_Share/alarms/aiaocalc_alarm_set.opi "sig=B_SYS_WEATHER_PT_Humid",,,0
